,index,attendance,away_assists,away_at_bats,away_average_leverage_index,away_base_out_runs_added,away_base_out_runs_saved,away_bases_on_balls,away_batting_average,away_earned_runs,away_fly_balls,away_game_score,away_grounded_balls,away_hits,away_home_runs,away_inherited_runners,away_inherited_score,away_innings_pitched,away_line_drives,away_on_base_percentage,away_on_base_plus,away_pitches,away_plate_appearances,away_putouts,away_rbi,away_runs,away_slugging_percentage,away_strikeouts,away_strikes,away_strikes_by_contact,away_strikes_looking,away_strikes_swinging,away_unknown_bat_type,away_win_probability_added,away_win_probability_by_pitcher,away_win_probability_for_offensive_player,away_win_probability_subtracted,date,duration,home_assists,home_at_bats,home_average_leverage_index,home_base_out_runs_added,home_base_out_runs_saved,home_bases_on_balls,home_batting_average,home_earned_runs,home_fly_balls,home_game_score,home_grounded_balls,home_hits,home_home_runs,home_inherited_runners,home_inherited_score,home_innings_pitched,home_line_drives,home_on_base_percentage,home_on_base_plus,home_pitches,home_plate_appearances,home_putouts,home_rbi,home_runs,home_slugging_percentage,home_strikeouts,home_strikes,home_strikes_by_contact,home_strikes_looking,home_strikes_swinging,home_unknown_bat_type,home_win_probability_added,home_win_probability_by_pitcher,home_win_probability_for_offensive_player,home_win_probability_subtracted,losing_abbr,losing_name,time,time_of_day,venue,winner,winning_abbr,winning_name,location
40,WAS/WAS201905150,29673,9,30,0.45,-4.1,-0.5,1,0.133,1.0,8,25,10,4,1,1,0,8.0,5,0.161,0.328,119,32,24,1,1,0.167,13,84,52,13,19,0,0.151,-0.237,-0.261,-0.412,"Wednesday, May 15, 2019",2:28,9,31,0.59,0.5,4.1,2,0.29,5.62,16,80,10,9,0,0,0,9.0,5,0.333,0.817,122,33,27,5,5,0.484,5,77,53,19,8,0,0.44,0.262,0.237,-0.203,NYM,New York Mets,7:05 p.m. Local,Night,Nationals Park,Home,WSN,Washington Nationals,Away
41,WAS/WAS201905160,28807,7,38,0.78,0.9,-2.5,2,0.289,6.0,18,30,10,11,1,1,1,8.0,7,0.325,0.746,147,40,24,6,6,0.421,10,109,66,21,22,0,0.87,-0.335,-0.164,-1.034,"Thursday, May 16, 2019",3:16,6,35,1.58,2.5,-0.9,5,0.343,7.88,14,53,13,12,1,2,0,9.0,6,0.425,0.939,161,40,27,6,7,0.514,8,91,53,24,14,0,0.791,0.166,0.334,-0.457,NYM,New York Mets,1:05 p.m. Local,Day,Nationals Park,Home,WSN,Washington Nationals,Away
42,MIA/MIA201905170,9870,8,36,0.64,1.5,-4.0,5,0.333,6.0,19,26,12,12,1,0,0,8.0,7,0.405,1.099,143,42,24,6,6,0.694,6,88,53,21,14,0,0.624,-0.326,-0.175,-0.798,"Friday, May 17, 2019",3:01,9,34,1.03,4.0,-1.5,0,0.294,7.88,15,50,14,10,3,3,2,9.0,6,0.286,0.756,138,36,27,8,8,0.471,7,100,67,17,16,0,0.602,0.174,0.327,-0.275,NYM,New York Mets,7:10 p.m. Local,Night,Marlins Park,Home,MIA,Miami Marlins,Away
43,MIA/MIA201905180,13474,7,26,0.62,-4.5,2.0,3,0.038,0.0,6,47,11,1,1,3,0,8.0,3,0.138,0.215,143,29,24,0,0,0.077,9,80,56,14,10,0,0.178,0.054,-0.554,-0.732,"Saturday, May 18, 2019",2:38,12,29,1.02,-2.0,4.5,4,0.172,2.25,9,80,10,5,0,0,0,9.0,4,0.273,0.549,122,33,27,2,2,0.276,10,92,53,24,15,0,0.302,0.554,-0.054,-0.355,NYM,New York Mets,4:10 p.m. Local,Day,Marlins Park,Home,MIA,Miami Marlins,Away
44,MIA/MIA201905190,15983,10,27,0.78,-4.5,1.0,1,0.074,0.0,9,61,10,2,1,0,0,8.0,5,0.107,0.181,104,28,24,0,0,0.074,8,55,25,11,19,0,0.214,0.056,-0.556,-0.771,"Sunday, May 19, 2019",1:59,11,27,1.11,-1.0,4.5,1,0.222,3.38,14,90,9,6,0,,,9.0,6,0.267,0.674,89,30,27,2,3,0.407,5,69,41,19,9,0,0.385,0.556,-0.056,-0.439,NYM,New York Mets,1:10 p.m. Local,Day,Marlins Park,Home,MIA,Miami Marlins,Away
45,NYN/NYN201905200,22335,8,32,0.58,-1.4,-1.1,5,0.219,3.0,17,43,9,7,2,1,1,8.0,8,0.342,0.717,152,38,24,3,3,0.375,6,98,55,31,12,0,0.729,-0.179,-0.321,-1.052,"Monday, May 20, 2019",3:12,10,32,1.45,1.1,1.4,4,0.25,4.5,11,47,10,8,1,2,1,9.0,3,0.351,0.851,150,37,27,5,5,0.5,11,97,60,15,22,0,0.529,0.321,0.179,-0.349,WSN,Washington Nationals,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
46,NYN/NYN201905210,24631,11,32,1.78,0.6,-2.1,3,0.25,5.0,17,55,8,8,2,2,1,8.2,8,0.314,0.814,137,37,26,5,5,0.5,9,102,62,29,11,0,1.27,-0.901,0.4,-0.87,"Tuesday, May 21, 2019",3:05,7,32,1.46,2.1,-0.6,4,0.25,6.23,11,61,14,8,2,4,1,9.0,4,0.368,0.837,153,38,27,6,6,0.469,7,79,43,20,16,0,1.884,-0.401,0.902,-0.982,WSN,Washington Nationals,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
47,NYN/NYN201905220,27188,8,30,1.72,-3.4,-2.1,3,0.1,1.0,11,71,9,3,1,2,2,8.0,3,0.182,0.382,152,33,24,1,1,0.2,10,86,43,25,18,0,0.228,-0.202,-0.3,-0.526,"Wednesday, May 22, 2019",2:59,8,32,0.78,2.1,3.4,4,0.219,6.75,9,69,12,7,1,0,0,9.0,4,0.324,0.762,133,37,27,6,6,0.438,11,103,53,19,31,0,1.179,0.3,0.201,-0.978,WSN,Washington Nationals,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
48,NYN/NYN201905230,29962,6,37,1.39,-0.4,-2.1,3,0.351,4.0,12,60,14,13,1,0,0,8.0,6,0.4,0.914,125,40,24,3,4,0.514,11,108,59,36,13,0,1.335,-0.745,0.246,-1.09,"Thursday, May 23, 2019",2:53,10,28,1.47,2.1,0.4,3,0.25,5.62,15,53,7,7,0,0,0,9.0,7,0.324,0.716,150,34,27,6,6,0.393,8,81,52,14,15,0,1.419,-0.245,0.747,-0.671,WSN,Washington Nationals,12:10 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
49,NYN/NYN201905240,27082,14,40,1.21,4.6,-3.6,3,0.35,9.0,21,32,10,14,5,0,0,9.0,12,0.378,0.978,149,45,27,9,9,0.6,11,109,61,24,24,0,1.494,-0.327,0.826,-0.667,"Friday, May 24, 2019",3:12,5,37,1.1,3.6,-4.6,2,0.297,8.0,17,32,13,11,2,2,1,9.0,10,0.333,1.117,161,39,27,8,8,0.784,7,100,59,18,23,0,1.24,-0.828,0.327,-0.91,NYM,New York Mets,7:11 p.m. Local,Night,Citi Field,Away,DET,Detroit Tigers,Home
50,NYN/NYN201905250,40691,13,49,1.67,-2.3,0.8,7,0.286,2.77,20,62,19,14,3,0,0,12.0,6,0.368,0.736,164,57,36,4,4,0.367,11,145,82,41,22,0,1.776,0.014,-0.513,-2.288,"Saturday, May 25, 2019",4:11,16,44,2.07,-0.8,2.3,3,0.159,3.0,21,53,15,7,1,1,1,13.0,6,0.229,0.593,242,48,39,5,5,0.364,8,102,60,22,20,0,1.524,0.513,-0.014,-1.539,DET,Detroit Tigers,4:10 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
51,NYN/NYN201905260,31414,10,33,1.07,-1.4,-0.1,2,0.182,3.0,10,54,10,6,1,1,0,8.0,5,0.229,0.501,107,35,24,3,3,0.273,13,101,57,24,20,0,0.871,-0.122,-0.378,-1.249,"Sunday, May 26, 2019",2:33,9,30,2.03,0.1,1.4,1,0.267,4.5,9,63,13,8,1,2,0,9.0,3,0.313,0.713,143,32,27,4,4,0.4,8,74,51,9,14,0,0.733,0.378,0.121,-0.613,DET,Detroit Tigers,1:10 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
52,LAN/LAN201905270,47816,12,40,1.0,0.4,-4.9,2,0.375,5.0,17,46,14,15,3,4,2,8.0,5,0.405,1.055,167,42,24,5,5,0.65,9,100,66,17,17,0,0.841,-0.532,0.034,-0.808,"Monday, May 27, 2019",3:42,11,40,1.04,4.9,-0.4,2,0.425,10.12,18,44,20,17,2,4,0,9.0,8,0.455,1.13,160,44,27,9,9,0.675,3,110,71,26,13,0,1.105,-0.032,0.532,-0.573,NYM,New York Mets,5:10 p.m. Local,Night,Dodger Stadium,Home,LAD,Los Angeles Dodgers,Away
53,LAN/LAN201905280,45713,8,36,0.99,2.4,1.6,6,0.278,6.0,15,59,13,10,1,0,0,9.0,9,0.381,0.964,150,43,27,7,7,0.583,9,121,71,36,14,0,1.082,0.161,0.342,-0.741,"Tuesday, May 28, 2019",3:22,11,34,1.09,-1.6,-2.4,5,0.235,3.0,14,57,11,8,2,4,3,9.0,7,0.333,0.716,183,39,27,3,3,0.382,9,97,52,26,19,0,0.603,-0.34,-0.162,-0.767,LAD,Los Angeles Dodgers,7:10 p.m. Local,Night,Dodger Stadium,Away,NYM,New York Mets,Away
54,LAN/LAN201905290,40559,7,38,1.27,3.4,-5.3,3,0.342,8.0,22,49,9,13,3,0,0,8.1,11,0.39,1.153,176,42,25,8,8,0.763,8,111,71,15,25,0,0.779,-0.914,0.414,-0.366,"Wednesday, May 29, 2019",3:31,11,38,0.57,5.3,-3.4,4,0.395,9.72,25,38,9,15,4,0,0,9.0,10,0.442,1.284,168,43,27,9,9,0.842,5,118,72,24,22,0,1.543,-0.415,0.915,-0.628,NYM,New York Mets,7:10 p.m. Local,Night,Dodger Stadium,Home,LAD,Los Angeles Dodgers,Away
55,LAN/LAN201905300,47848,10,31,0.88,-4.6,2.1,1,0.129,0.0,12,64,10,4,0,2,0,8.0,9,0.182,0.343,126,33,24,0,0,0.161,9,84,44,20,20,0,0.313,0.163,-0.664,-0.977,"Thursday, May 30, 2019",2:47,8,31,1.33,-2.1,4.6,3,0.29,2.25,14,77,10,9,0,1,0,9.0,8,0.353,0.772,126,34,27,2,2,0.419,7,75,41,27,7,0,0.439,0.663,-0.162,-0.602,NYM,New York Mets,7:10 p.m. Local,Night,Dodger Stadium,Home,LAD,Los Angeles Dodgers,Away
56,ARI/ARI201905310,24664,3,37,1.64,0.2,0.8,3,0.351,5.0,14,56,15,13,2,0,0,9.0,8,0.4,0.859,135,41,27,5,5,0.459,8,93,54,22,17,1,1.162,0.191,0.308,-0.853,"Friday, May 31, 2019",3:14,13,35,1.33,-0.8,-0.2,2,0.229,4.0,19,45,7,8,0,0,0,9.0,6,0.27,0.727,147,37,27,4,4,0.457,9,95,56,24,15,0,0.976,-0.309,-0.191,-1.167,ARI,Arizona Diamondbacks,6:40 p.m. Local,Night,Chase Field,Away,NYM,New York Mets,Away
57,ARI/ARI201906010,34888,7,40,1.63,-0.9,-1.3,2,0.225,4.09,13,66,18,9,1,4,1,10.1,7,0.262,0.662,159,42,31,5,5,0.4,9,107,62,27,18,0,0.503,-0.227,-0.274,-0.777,"Saturday, June 1, 2019",3:42,17,38,0.9,1.3,0.9,3,0.289,5.23,16,33,12,11,2,0,0,11.0,5,0.349,0.796,163,45,33,5,6,0.447,13,103,56,22,25,0,1.315,0.273,0.226,-1.088,NYM,New York Mets,7:09 p.m. Local,Night,Chase Field,Home,ARI,Arizona Diamondbacks,Away
58,ARI/ARI201906020,26945,9,32,0.48,-3.8,-2.7,0,0.188,1.0,8,39,13,6,2,2,2,8.0,3,0.188,0.469,137,32,24,1,1,0.281,11,75,45,15,15,0,0.21,-0.211,-0.289,-0.498,"Sunday, June 2, 2019",2:37,11,34,0.69,2.7,3.8,4,0.294,7.88,16,73,13,10,1,1,0,9.0,4,0.368,0.898,118,38,27,7,7,0.529,5,86,49,22,15,0,0.484,0.29,0.21,-0.272,NYM,New York Mets,1:10 p.m. Local,Day,Chase Field,Home,ARI,Arizona Diamondbacks,Away
59,NYN/NYN201906040,24878,10,43,1.22,4.1,1.9,5,0.326,8.1,17,51,17,14,2,0,0,10.0,9,0.396,0.814,158,48,30,9,9,0.419,9,119,64,33,22,0,1.311,0.158,0.341,-0.971,"Tuesday, June 4, 2019",3:35,13,38,1.46,-1.9,-4.1,2,0.263,2.7,17,53,12,10,0,3,3,10.0,9,0.317,0.738,186,41,30,3,3,0.421,9,104,60,23,21,0,0.821,-0.342,-0.158,-0.981,NYM,New York Mets,7:11 p.m. Local,Night,Citi Field,Away,SFG,San Francisco Giants,Home
60,NYN/NYN201906050,23357,7,30,0.43,-4.4,-3.1,1,0.167,0.0,11,36,11,5,3,0,0,8.0,7,0.194,0.394,154,31,24,0,0,0.2,8,79,44,25,10,0,0.17,-0.237,-0.264,-0.433,"Wednesday, June 5, 2019",2:41,14,31,0.59,3.1,4.4,4,0.258,6.75,15,84,8,8,0,,,9.0,6,0.351,0.932,117,37,27,7,7,0.581,9,96,58,17,21,0,0.473,0.263,0.24,-0.236,SFG,San Francisco Giants,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
61,NYN/NYN201906060,28857,15,30,1.27,-1.4,-3.1,1,0.1,3.0,16,48,5,3,3,3,1,8.0,3,0.156,0.456,124,32,24,3,3,0.3,9,94,61,17,16,0,0.453,-0.404,-0.095,-0.55,"Thursday, June 6, 2019",2:43,4,33,0.82,3.1,1.4,4,0.394,7.88,13,64,18,13,2,0,0,9.0,7,0.474,1.171,131,39,27,7,7,0.697,3,73,51,14,8,0,1.187,0.096,0.405,-0.782,SFG,San Francisco Giants,12:10 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
62,NYN/NYN201906070,27520,14,37,0.98,0.6,3.4,1,0.27,5.0,17,58,5,10,1,0,0,9.0,6,0.308,0.821,134,39,27,5,5,0.514,15,109,68,17,27,0,0.648,0.382,0.118,-0.529,"Friday, June 7, 2019",3:03,4,32,0.73,-3.4,-0.6,2,0.188,1.0,14,61,15,6,2,2,0,9.0,8,0.235,0.579,163,34,27,1,1,0.344,3,84,57,20,7,0,0.398,-0.119,-0.381,-0.778,NYM,New York Mets,7:10 p.m. Local,Night,Citi Field,Away,COL,Colorado Rockies,Home
63,NYN/NYN201906080,29077,8,33,0.95,-1.4,-1.1,2,0.212,2.0,9,42,10,7,2,2,0,8.0,5,0.297,0.509,125,38,24,2,3,0.212,15,103,53,29,21,0,0.702,-0.258,-0.243,-0.944,"Saturday, June 8, 2019",2:59,8,31,1.43,1.1,1.4,4,0.29,5.62,13,58,8,9,0,0,0,9.0,6,0.389,0.937,156,36,27,4,5,0.548,10,85,41,20,24,0,0.795,0.243,0.259,-0.536,COL,Colorado Rockies,7:16 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
64,NYN/NYN201906090,29531,9,28,0.35,-3.4,-2.1,3,0.071,1.0,11,31,8,2,1,1,0,8.0,3,0.161,0.268,101,31,24,1,1,0.107,9,92,54,17,21,0,0.068,-0.262,-0.239,-0.308,"Sunday, June 9, 2019",2:32,7,31,0.41,2.1,3.4,2,0.258,6.75,13,80,7,8,0,0,0,9.0,7,0.303,0.787,131,33,27,6,6,0.484,11,71,40,17,14,0,0.433,0.238,0.262,-0.171,COL,Colorado Rockies,1:11 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
65,NYA/NYA201906111,41538,10,38,0.68,0.1,-7.7,0,0.237,4.0,13,21,16,9,3,1,0,8.0,8,0.237,0.579,167,38,24,5,5,0.342,9,103,58,26,19,0,0.525,-0.623,0.123,-0.4,"Tuesday, June 11, 2019",3:09,8,40,0.63,7.7,-0.1,3,0.375,9.0,21,49,12,15,1,1,0,9.0,10,0.419,1.194,140,43,27,12,12,0.775,7,104,60,26,18,0,1.027,-0.123,0.622,-0.405,NYM,New York Mets,1:09 p.m. Local,Day,Yankee Stadium III,Home,NYY,New York Yankees,Away
66,NYA/NYA201906112,44698,7,38,0.6,5.1,0.9,5,0.289,9.0,19,47,13,11,1,0,0,9.0,7,0.386,0.965,144,44,27,10,10,0.579,6,115,85,19,11,0,0.603,0.073,0.429,-0.173,"Tuesday, June 11, 2019",3:20,12,36,0.36,-0.9,-5.1,3,0.25,4.0,15,19,13,9,3,2,0,9.0,8,0.308,0.641,190,39,27,4,4,0.333,8,90,48,24,18,0,0.282,-0.428,-0.072,-0.356,NYY,New York Yankees,7:09 p.m. Local,Night,Yankee Stadium III,Away,NYM,New York Mets,Away
67,NYN/NYN201906130,31862,8,37,1.01,0.1,0.9,1,0.27,4.5,13,46,14,10,1,3,1,10.0,8,0.308,0.713,149,39,30,5,5,0.405,10,114,70,23,21,0,1.245,0.11,0.389,-0.855,"Thursday, June 13, 2019",3:02,14,34,1.4,-0.9,-0.1,2,0.176,3.6,13,65,6,6,1,0,0,10.0,7,0.216,0.51,172,37,30,4,4,0.294,15,95,45,23,27,1,0.578,-0.389,-0.111,-0.688,NYM,New York Mets,7:11 p.m. Local,Night,Citi Field,Away,STL,St. Louis Cardinals,Home
68,NYN/NYN201906140,28560,12,33,1.44,4.6,-0.6,4,0.242,8.0,21,53,7,8,1,4,3,9.0,9,0.316,1.013,140,39,27,9,9,0.697,7,109,65,31,13,0,1.328,-0.338,0.839,-0.49,"Friday, June 14, 2019",3:05,7,36,0.97,0.6,-4.6,4,0.25,3.0,13,56,17,9,4,0,0,9.0,6,0.341,0.703,177,41,27,5,5,0.361,6,89,53,26,10,0,1.259,-0.839,0.337,-0.922,NYM,New York Mets,7:10 p.m. Local,Night,Citi Field,Away,STL,St. Louis Cardinals,Home
69,NYN/NYN201906150,32589,4,35,0.47,2.6,-4.1,4,0.343,6.0,16,29,12,12,2,5,0,8.0,7,0.405,0.89,140,42,24,7,7,0.486,9,96,47,31,18,0,0.811,-0.405,-0.095,-0.906,"Saturday, June 15, 2019",3:33,8,34,1.21,4.1,-2.6,3,0.294,7.88,19,45,8,10,1,2,2,9.0,7,0.39,0.92,157,41,27,8,8,0.529,8,87,59,15,13,0,0.623,0.097,0.407,-0.219,STL,St. Louis Cardinals,7:11 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
70,NYN/NYN201906160,37054,14,31,1.54,-0.4,1.4,4,0.097,3.0,12,44,10,3,0,0,0,9.0,3,0.2,0.49,146,35,27,3,4,0.29,9,99,53,32,14,0,0.786,0.429,0.071,-0.715,"Sunday, June 16, 2019",3:09,9,33,1.1,-1.4,0.4,3,0.303,3.0,16,51,11,10,2,0,0,9.0,11,0.361,0.725,162,36,27,3,3,0.364,6,86,59,16,11,0,0.778,-0.073,-0.429,-1.207,NYM,New York Mets,1:10 p.m. Local,Day,Citi Field,Away,STL,St. Louis Cardinals,Home
71,ATL/ATL201906170,24660,9,32,0.77,-2.0,-7.6,4,0.219,3.0,12,36,15,7,3,4,3,8.0,8,0.306,0.649,177,36,24,3,3,0.344,5,77,51,15,11,0,0.497,-0.364,-0.135,-0.631,"Monday, June 17, 2019",3:05,14,40,0.94,7.6,2.0,7,0.4,12.38,23,49,12,16,1,1,0,9.0,13,0.489,1.114,116,47,27,11,12,0.625,5,106,73,19,14,0,0.892,0.135,0.366,-0.527,NYM,New York Mets,7:21 p.m. Local,Night,SunTrust Park,Home,ATL,Atlanta Braves,Away
72,ATL/ATL201906180,24791,6,40,0.3,5.0,3.0,8,0.375,10.0,16,75,14,15,2,0,0,9.0,5,0.479,1.229,123,48,27,10,10,0.75,10,106,62,20,24,0,0.608,0.203,0.297,-0.311,"Tuesday, June 18, 2019",3:04,8,32,0.49,-3.0,-5.0,0,0.156,2.0,13,22,7,5,3,0,0,9.0,5,0.182,0.557,170,33,27,2,2,0.375,12,83,50,17,16,0,0.046,-0.297,-0.204,-0.251,ATL,Atlanta Braves,7:30 p.m. Local,Night,SunTrust Park,Away,NYM,New York Mets,Away
73,ATL/ATL201906190,37104,12,34,0.73,-3.0,-2.6,2,0.265,2.0,14,33,12,9,2,3,2,8.0,11,0.306,0.688,153,36,24,2,2,0.382,8,90,52,23,15,0,0.43,-0.232,-0.269,-0.698,"Wednesday, June 19, 2019",3:03,13,32,1.01,2.6,3.0,5,0.281,7.88,15,53,12,9,0,1,0,9.0,8,0.378,0.941,144,37,27,7,7,0.563,5,89,56,17,16,0,0.71,0.269,0.231,-0.478,NYM,New York Mets,7:20 p.m. Local,Night,SunTrust Park,Home,ATL,Atlanta Braves,Away
74,CHN/CHN201906200,38956,9,32,0.7,-0.9,-2.7,3,0.219,3.0,10,24,14,7,1,1,1,8.0,6,0.306,0.712,152,36,24,3,4,0.406,8,88,47,27,14,0,0.582,-0.41,-0.091,-0.674,"Thursday, June 20, 2019",2:59,12,30,0.93,2.7,0.9,5,0.233,7.88,8,40,12,7,2,1,0,9.0,3,0.343,0.81,140,36,27,6,7,0.467,11,97,48,22,27,0,0.761,0.092,0.409,-0.352,NYM,New York Mets,7:06 p.m. Local,Night,Wrigley Field,Home,CHC,Chicago Cubs,Away
75,CHN/CHN201906210,41078,10,33,1.4,0.1,0.9,4,0.212,5.0,12,45,10,7,1,1,0,9.0,4,0.297,0.722,150,37,27,4,5,0.424,11,88,45,25,18,0,0.888,0.335,0.164,-0.723,"Friday, June 21, 2019",3:11,9,33,1.08,-0.9,-0.1,2,0.182,2.0,16,52,11,6,2,1,1,9.0,7,0.229,0.532,137,35,27,4,4,0.303,6,96,59,24,15,0,0.653,-0.166,-0.336,-0.987,CHC,Chicago Cubs,1:23 p.m. Local,Day,Wrigley Field,Away,NYM,New York Mets,Away
76,CHN/CHN201906220,41106,10,37,0.44,5.1,2.9,4,0.324,8.0,14,67,19,12,0,0,0,9.0,7,0.39,1.039,134,42,27,10,10,0.649,5,97,58,25,14,0,0.575,0.164,0.335,-0.239,"Saturday, June 22, 2019",3:01,17,31,0.35,-2.9,-5.1,4,0.194,1.0,13,11,12,6,3,0,0,9.0,6,0.286,0.512,148,36,27,0,2,0.226,7,85,63,12,10,0,0.198,-0.337,-0.165,-0.362,CHC,Chicago Cubs,1:23 p.m. Local,Day,Wrigley Field,Away,NYM,New York Mets,Away
77,CHN/CHN201906230,39077,9,29,1.46,-1.9,-0.7,3,0.241,3.0,14,57,10,7,1,0,0,8.0,4,0.313,0.83,161,34,24,3,3,0.517,7,80,44,19,18,0,0.594,-0.345,-0.156,-0.75,"Sunday, June 23, 2019",2:49,9,33,1.05,0.7,1.9,2,0.364,5.62,10,54,12,12,2,0,0,9.0,5,0.4,0.915,121,35,27,5,5,0.515,11,105,59,18,28,0,1.209,0.156,0.344,-0.865,NYM,New York Mets,1:23 p.m. Local,Day,Wrigley Field,Home,CHC,Chicago Cubs,Away
78,PHI/PHI201906240,29117,4,39,0.72,2.1,-8.7,3,0.385,7.0,22,13,12,15,4,0,0,8.0,12,0.432,1.175,162,44,24,7,7,0.744,6,105,66,22,17,0,0.922,-0.8,0.299,-0.621,"Monday, June 24, 2019",3:18,8,43,0.95,8.7,-2.1,4,0.442,14.62,27,24,14,19,4,0,0,9.0,15,0.489,1.327,156,47,27,13,13,0.837,2,101,65,23,13,0,1.256,-0.3,0.801,-0.458,NYM,New York Mets,7:06 p.m. Local,Night,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
79,PHI/PHI201906250,28125,10,38,0.84,0.1,-2.7,4,0.316,5.0,17,44,16,12,4,3,2,8.0,10,0.372,0.898,134,43,24,5,5,0.526,6,85,51,19,15,0,0.977,-0.492,-0.009,-0.985,"Tuesday, June 25, 2019",3:07,9,33,1.28,2.7,-0.1,3,0.242,7.88,13,34,13,8,2,2,0,9.0,4,0.324,0.961,148,37,27,7,7,0.636,7,86,43,32,11,0,1.0,0.008,0.492,-0.508,NYM,New York Mets,7:07 p.m. Local,Night,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
80,PHI/PHI201906260,29822,4,39,1.58,-1.4,-1.6,4,0.256,3.6,23,67,10,10,1,1,1,9.0,9,0.326,0.787,146,43,27,4,4,0.462,6,93,65,16,14,0,0.675,-0.176,-0.324,-1.0,"Wednesday, June 26, 2019",3:21,8,37,1.09,1.6,1.4,5,0.243,5.0,16,35,6,9,2,3,0,10.0,6,0.333,0.766,151,42,30,5,5,0.432,15,97,47,26,24,0,1.121,0.325,0.175,-0.946,NYM,New York Mets,7:06 p.m. Local,Night,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
81,PHI/PHI201906270,39161,7,33,1.34,-1.9,-1.4,1,0.152,3.0,8,69,14,5,3,0,0,8.1,4,0.2,0.442,177,35,25,3,3,0.242,11,90,48,26,16,0,0.978,-0.638,0.139,-0.841,"Thursday, June 27, 2019",3:24,9,30,1.31,1.4,1.9,5,0.2,6.48,11,84,11,6,1,2,1,9.0,4,0.333,0.833,140,38,27,6,6,0.5,10,114,73,26,15,0,1.385,-0.139,0.637,-0.746,NYM,New York Mets,1:07 p.m. Local,Day,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
82,NYN/NYN201906280,36421,9,35,1.39,1.6,2.4,2,0.257,6.0,16,55,9,9,1,2,0,9.0,9,0.308,0.708,138,39,27,6,6,0.4,11,98,56,23,19,0,0.636,0.255,0.244,-0.392,"Friday, June 28, 2019",2:55,7,36,0.8,-2.4,-1.6,0,0.25,2.0,12,53,16,9,1,0,0,9.0,6,0.25,0.583,149,36,27,2,2,0.333,8,96,69,14,13,0,0.668,-0.245,-0.255,-0.924,NYM,New York Mets,7:13 p.m. Local,Night,Citi Field,Away,ATL,Atlanta Braves,Home
83,NYN/NYN201906290,40809,9,38,1.99,0.6,0.4,1,0.342,5.0,16,43,13,13,1,3,1,9.0,10,0.39,0.969,166,41,27,5,5,0.579,9,92,60,16,16,0,1.098,0.147,0.353,-0.745,"Saturday, June 29, 2019",3:39,10,36,1.08,-0.4,-0.6,4,0.222,4.0,14,45,13,8,2,1,0,9.0,7,0.333,0.722,143,42,27,4,4,0.389,9,107,69,23,15,0,1.315,-0.354,-0.148,-1.462,NYM,New York Mets,4:32 p.m. Local,Day,Citi Field,Away,ATL,Atlanta Braves,Home
84,NYN/NYN201906300,31743,8,36,1.86,0.6,-4.1,3,0.278,5.0,16,44,10,10,1,3,2,8.0,6,0.333,0.778,132,39,24,5,5,0.444,10,104,57,22,28,0,1.082,-0.767,0.27,-0.813,"Sunday, June 30, 2019",3:27,8,35,1.31,4.1,-0.6,2,0.371,9.0,11,45,16,13,1,4,0,9.0,5,0.41,0.896,159,39,27,8,8,0.486,9,90,45,26,19,0,1.634,-0.268,0.768,-0.867,ATL,Atlanta Braves,7:08 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
85,NYN/NYN201907020,42150,10,31,1.67,-2.4,-0.1,2,0.194,2.0,7,53,16,6,1,3,2,8.0,3,0.242,0.468,139,35,24,2,2,0.226,10,105,62,29,14,0,0.432,-0.295,-0.207,-0.639,"Tuesday, July 2, 2019",3:11,11,33,1.01,0.1,2.4,3,0.333,3.38,11,62,17,11,0,0,0,9.0,6,0.389,0.874,166,36,27,4,4,0.485,5,83,51,15,17,0,1.275,0.206,0.295,-0.979,NYY,New York Yankees,7:11 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
86,NYN/NYN201907030,43323,8,36,0.77,0.6,3.4,4,0.278,5.0,12,64,13,10,1,0,0,9.0,7,0.35,0.878,137,40,27,5,5,0.528,11,103,50,33,20,0,0.694,0.332,0.166,-0.526,"Wednesday, July 3, 2019",3:17,10,33,0.73,-3.4,-0.6,0,0.212,1.0,11,46,13,7,2,2,0,9.0,4,0.212,0.545,181,34,27,1,1,0.333,10,97,53,21,23,0,0.227,-0.168,-0.333,-0.563,NYM,New York Mets,7:12 p.m. Local,Night,Citi Field,Away,NYY,New York Yankees,Home
