,index,attendance,away_assists,away_at_bats,away_average_leverage_index,away_base_out_runs_added,away_base_out_runs_saved,away_bases_on_balls,away_batting_average,away_earned_runs,away_fly_balls,away_game_score,away_grounded_balls,away_hits,away_home_runs,away_inherited_runners,away_inherited_score,away_innings_pitched,away_line_drives,away_on_base_percentage,away_on_base_plus,away_pitches,away_plate_appearances,away_putouts,away_rbi,away_runs,away_slugging_percentage,away_strikeouts,away_strikes,away_strikes_by_contact,away_strikes_looking,away_strikes_swinging,away_unknown_bat_type,away_win_probability_added,away_win_probability_by_pitcher,away_win_probability_for_offensive_player,away_win_probability_subtracted,date,duration,home_assists,home_at_bats,home_average_leverage_index,home_base_out_runs_added,home_base_out_runs_saved,home_bases_on_balls,home_batting_average,home_earned_runs,home_fly_balls,home_game_score,home_grounded_balls,home_hits,home_home_runs,home_inherited_runners,home_inherited_score,home_innings_pitched,home_line_drives,home_on_base_percentage,home_on_base_plus,home_pitches,home_plate_appearances,home_putouts,home_rbi,home_runs,home_slugging_percentage,home_strikeouts,home_strikes,home_strikes_by_contact,home_strikes_looking,home_strikes_swinging,home_unknown_bat_type,home_win_probability_added,home_win_probability_by_pitcher,home_win_probability_for_offensive_player,home_win_probability_subtracted,losing_abbr,losing_name,time,time_of_day,venue,winner,winning_abbr,winning_name,location
10,NYN/NYN201904100,20946,8,34,1.01,1.6,-5.1,1,0.265,6.0,8,49,17,9,0,6,6,8.0,4,0.286,0.756,162,36,24,5,6,0.471,10,97,55,19,23,0,0.283,-0.33,-0.169,-0.452,"Wednesday, April 10, 2019",3:15,12,27,0.6,5.1,-1.6,10,0.185,10.12,7,58,11,5,1,1,1,9.0,3,0.421,0.606,134,39,27,9,9,0.185,10,88,43,19,26,0,0.807,0.17,0.329,-0.476,MIN,Minnesota Twins,7:11 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
11,ATL/ATL201904110,24015,6,33,1.05,1.0,2.0,7,0.212,6.0,13,63,12,7,2,0,0,9.0,7,0.35,0.744,164,41,27,6,6,0.394,9,102,60,23,19,0,0.682,0.297,0.204,-0.476,"Thursday, April 11, 2019",3:14,11,36,0.78,-2.0,-1.0,3,0.25,3.0,11,47,11,9,2,3,1,9.0,3,0.308,0.835,166,39,27,3,3,0.528,14,104,56,29,19,0,0.548,-0.203,-0.298,-0.845,ATL,Atlanta Braves,7:22 p.m. Local,Night,SunTrust Park,Away,NYM,New York Mets,Away
12,ATL/ATL201904120,33334,10,37,0.8,1.0,3.0,6,0.27,6.0,15,57,13,10,0,0,0,9.0,11,0.372,0.859,153,43,27,6,6,0.486,9,94,52,32,10,0,0.705,0.235,0.265,-0.438,"Friday, April 12, 2019",3:07,9,33,0.63,-3.0,-1.0,3,0.212,2.0,12,20,12,7,1,2,0,9.0,5,0.27,0.543,156,37,27,2,2,0.273,10,100,57,26,17,0,0.302,-0.265,-0.235,-0.538,ATL,Atlanta Braves,7:21 p.m. Local,Night,SunTrust Park,Away,NYM,New York Mets,Away
13,ATL/ATL201904130,40117,6,35,0.6,2.0,-6.6,5,0.314,6.0,17,28,11,11,2,3,2,8.0,7,0.39,0.819,194,42,24,6,7,0.429,9,97,58,26,14,0,0.496,-0.585,0.084,-0.411,"Saturday, April 13, 2019",3:34,7,35,0.63,6.6,-2.0,7,0.371,12.38,19,26,9,13,0,3,1,9.0,7,0.476,1.076,155,42,27,11,11,0.6,7,112,70,28,14,0,0.785,-0.083,0.584,-0.201,NYM,New York Mets,7:21 p.m. Local,Night,SunTrust Park,Home,ATL,Atlanta Braves,Away
14,ATL/ATL201904140,23385,4,38,0.76,-2.0,-2.6,2,0.289,3.0,16,50,12,11,3,2,0,8.0,10,0.325,0.746,194,40,24,3,3,0.421,10,96,56,26,14,0,0.44,-0.196,-0.304,-0.745,"Sunday, April 14, 2019",3:36,8,33,0.92,2.6,2.0,8,0.303,7.88,14,60,7,10,1,2,2,9.0,4,0.439,1.106,151,41,27,7,7,0.667,12,119,72,27,20,0,0.661,0.304,0.198,-0.462,NYM,New York Mets,7:37 p.m. Local,Night,SunTrust Park,Home,ATL,Atlanta Braves,Away
15,PHI/PHI201904150,32423,9,44,2.07,1.1,-0.1,6,0.273,4.91,18,35,15,12,1,3,1,11.0,12,0.36,0.746,209,50,33,6,7,0.386,11,107,59,28,20,0,1.638,0.258,0.244,-1.394,"Monday, April 15, 2019",4:29,11,42,1.54,0.1,-1.1,8,0.286,4.91,16,31,10,12,1,0,0,11.0,7,0.4,0.781,171,50,33,6,6,0.381,16,128,63,43,22,0,1.582,-0.244,-0.257,-1.838,PHI,Philadelphia Phillies,7:07 p.m. Local,Night,Citizens Bank Park,Away,NYM,New York Mets,Away
16,PHI/PHI201904160,43933,6,33,0.19,-1.9,-9.7,3,0.303,3.0,10,13,17,10,3,1,0,8.0,3,0.368,0.914,171,39,24,3,3,0.545,8,97,57,21,19,0,0.153,-0.437,-0.064,-0.218,"Tuesday, April 16, 2019",3:07,12,39,0.25,9.7,1.9,3,0.333,10.12,23,40,11,13,2,0,0,9.0,8,0.409,1.153,159,44,27,14,14,0.744,5,108,69,27,12,0,0.453,0.064,0.438,-0.017,NYM,New York Mets,7:07 p.m. Local,Night,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
17,PHI/PHI201904170,39861,10,31,0.76,-2.9,1.3,2,0.226,2.0,8,57,18,7,2,0,0,8.0,3,0.314,0.637,125,35,24,2,2,0.323,5,81,47,20,14,0,0.675,0.018,-0.518,-1.192,"Wednesday, April 17, 2019",2:52,12,28,1.79,-1.3,2.9,3,0.179,3.38,11,63,12,5,1,3,1,9.0,7,0.25,0.643,125,32,27,3,3,0.393,6,83,50,23,10,0,0.364,0.519,-0.019,-0.381,NYM,New York Mets,1:06 p.m. Local,Day,Citizens Bank Park,Home,PHI,Philadelphia Phillies,Away
18,SLN/SLN201904190,40413,8,37,1.73,0.3,0.7,5,0.297,4.0,14,52,17,11,2,3,1,9.0,9,0.381,0.84,174,44,27,5,5,0.459,8,98,58,28,12,0,0.59,0.387,0.114,-0.477,"Friday, April 19, 2019",3:31,12,37,0.76,-0.7,-0.3,5,0.27,3.0,17,29,13,10,1,5,1,9.0,7,0.357,0.871,160,42,27,3,4,0.514,7,103,63,26,14,0,1.056,-0.113,-0.387,-1.442,STL,St. Louis Cardinals,7:17 p.m. Local,Night,Busch Stadium III,Away,NYM,New York Mets,Away
19,SLN/SLN201904200,47059,8,31,0.45,-2.7,-5.9,2,0.129,2.0,12,23,14,4,1,2,1,8.0,2,0.182,0.375,166,33,24,2,2,0.194,5,81,43,28,10,0,0.057,-0.289,-0.211,-0.268,"Saturday, April 20, 2019",2:45,11,32,0.36,5.9,2.7,7,0.312,10.12,22,68,10,10,0,0,0,9.0,12,0.425,0.925,109,41,27,9,10,0.5,2,103,62,30,11,0,0.457,0.212,0.29,-0.167,NYM,New York Mets,1:16 p.m. Local,Day,Busch Stadium III,Home,STL,St. Louis Cardinals,Away
